id,country,2020,2021,2022,2023
1,Afghanistan,0.501,0.486,0.495,0.496
2,Albania,0.794,0.794,0.806,0.81
3,Algeria,0.742,0.755,0.761,0.763
4,Andorra,0.851,0.871,0.893,0.913
5,Angola,0.61,0.609,0.615,0.616
6,Antigua and Barbuda,0.84,0.843,0.848,0.851
7,Argentina,0.851,0.847,0.858,0.865
8,Armenia,0.761,0.786,0.801,0.811
9,Australia,0.95,0.954,0.952,0.958
10,Austria,0.925,0.93,0.927,0.93
11,Azerbaijan,0.757,0.765,0.784,0.789
12,Bahamas,0.797,0.794,0.818,0.82
13,Bahrain,0.885,0.885,0.902,0.899
14,Bangladesh,0.663,0.663,0.68,0.685
15,Barbados,0.803,0.803,0.807,0.811
16,Belarus,0.815,0.817,0.824,0.824
17,Belgium,0.939,0.948,0.945,0.951
18,Belize,0.713,0.713,0.717,0.721
19,Benin,0.504,0.506,0.512,0.515
20,Bhutan,0.688,0.691,0.695,0.698
21,Bolivia (Plurinational State of),0.697,0.693,0.727,0.733
22,Bosnia and Herzegovina,0.783,0.783,0.799,0.804
23,Botswana,0.718,0.7,0.729,0.731
24,Brazil,0.77,0.768,0.78,0.786
25,Brunei Darussalam,0.836,0.835,0.825,0.837
26,Bulgaria,0.826,0.817,0.835,0.845
27,Burkina Faso,0.453,0.454,0.457,0.459
28,Burundi,0.435,0.435,0.437,0.439
29,Cabo Verde,0.647,0.651,0.664,0.668
30,Cambodia,0.595,0.594,0.602,0.606
31,Cameroon,0.579,0.574,0.581,0.588
32,Canada,0.931,0.937,0.935,0.939
33,Central African Republic,0.386,0.339,,0.414
34,Chad,0.408,0.408,0.414,0.416
35,Chile,0.856,0.865,0.869,0.878
36,China,0.786,0.794,0.796,0.797
37,Colombia,0.764,0.762,0.782,0.788
38,Comoros,0.592,0.594,0.602,0.603
39,Congo,0.643,0.643,0.644,0.649
40,Dem. Rep. Congo,0.506,0.508,0.514,0.522
41,Costa Rica,0.819,0.817,0.823,0.833
42,Croatia,0.867,0.876,0.886,0.889
43,Cuba,0.762,0.745,0.764,0.762
44,Cyprus,0.905,0.907,0.908,0.913
45,Czechia,0.898,0.901,0.911,0.915
46,Côte d'Ivoire,0.553,0.557,0.565,0.582
47,Denmark,0.954,0.958,0.959,0.962
48,Djibouti,0.499,0.501,0.51,0.513
49,Dominica,0.753,0.749,0.759,0.761
50,Dominican Republic,0.767,0.762,0.778,0.776
51,Ecuador,0.74,0.753,0.773,0.777
52,Egypt,0.736,0.738,0.751,0.754
53,El Salvador,0.66,0.663,0.674,0.678
54,Equatorial Guinea,0.668,0.671,0.677,0.674
55,Eritrea,0.495,0.496,0.499,0.503
56,Estonia,0.901,0.899,0.902,0.905
57,Eswatini (Kingdom of),0.657,0.658,0.695,0.695
58,Ethiopia,0.486,0.487,0.494,0.497
59,Fiji,0.718,0.705,0.726,0.731
60,Finland,0.947,0.949,0.946,0.948
61,France,0.909,0.915,0.916,0.92
62,Gabon,0.732,0.72,0.73,0.733
63,Gambia,0.512,0.513,0.519,0.524
64,Georgia,0.822,0.819,0.838,0.844
65,Germany,0.955,0.958,0.955,0.959
66,Ghana,0.614,0.618,0.625,0.628
67,Greece,0.896,0.897,0.897,0.908
68,Grenada,0.782,0.782,0.789,0.791
69,Guatemala,0.645,0.639,0.655,0.662
70,Guinea,0.488,0.49,0.498,0.5
71,Guinea-Bissau,0.498,0.502,0.511,0.514
72,Guyana,0.722,0.713,0.763,0.776
73,Haiti,0.555,0.548,0.552,0.554
74,Honduras,0.625,0.628,0.643,0.645
75,"Hong Kong, China (SAR)",0.95,0.961,0.95,0.955
76,Hungary,0.857,0.852,0.867,0.87
77,Iceland,0.965,0.967,0.964,0.972
78,India,0.652,0.647,0.676,0.685
79,Indonesia,0.71,0.707,0.726,0.728
80,Iran (Islamic Republic of),0.775,0.777,0.793,0.799
81,Iraq,0.68,0.687,0.695,0.695
82,Ireland,0.948,0.946,0.947,0.949
83,Israel,0.912,0.918,0.921,0.919
84,Italy,0.899,0.908,0.905,0.915
85,Jamaica,0.711,0.703,0.718,0.72
86,Japan,0.922,0.922,0.921,0.925
87,Jordan,0.743,0.736,0.751,0.754
88,Kazakhstan,0.826,0.816,0.831,0.837
89,Kenya,0.6,0.608,0.626,0.628
90,Kiribati,0.632,0.631,0.642,0.644
91,Korea (Republic of),0.928,0.933,0.928,0.937
92,Kuwait,0.837,0.839,0.845,0.852
93,Kyrgyzstan,0.7,0.704,0.717,0.72
94,Lao People's Democratic Republic,0.616,0.613,0.614,0.617
95,Latvia,0.879,0.871,0.881,0.889
96,Lebanon,0.75,0.733,0.755,0.752
97,Lesotho,0.537,0.532,0.547,0.55
98,Liberia,0.498,0.503,0.508,0.51
99,Libya,0.688,0.729,0.741,0.721
100,Liechtenstein,0.929,0.933,0.936,0.938
101,Lithuania,0.888,0.887,0.888,0.895
102,Luxembourg,0.916,0.918,0.922,0.922
103,Madagascar,0.483,0.481,0.483,0.487
104,Malawi,0.512,0.509,0.513,0.517
105,Malaysia,0.81,0.802,0.81,0.819
106,Maldives,0.73,0.745,0.764,0.766
107,Mali,0.414,0.414,0.417,0.419
108,Malta,0.903,0.914,0.917,0.924
109,Marshall Islands,0.722,0.723,0.732,0.733
110,Mauritania,0.554,0.553,0.562,0.563
111,Mauritius,0.795,0.789,0.794,0.806
112,Mexico,0.763,0.761,0.783,0.789
113,Micronesia (Federated States of),0.609,0.611,0.614,0.615
114,Moldova (Republic of),0.77,0.773,0.784,0.785
